Rank,Movie,World_Wide_Sales,Domestic_Sales,Foriegn_Sales,Genre,Release_Year,IMBD_Rating,Rated,Year_Id
99,"The Intruder",36599400,35419100,1180240,"Drama, Horror, Mystery",2019,5.5,PG-13,99
100,"Pain and Glory",35646400,3606340,32040000,Drama,2019,7.7,R,100
103,"The Art of Racing in the Rain",33766800,26395600,7371140,"Comedy, Drama, Romance",2019,7.5,PG,103
105,Brightburn,32893400,17300400,15593000,"Drama, Horror, Mystery",2019,6.2,R,105
107,Stuber,32390900,22370500,10020500,"Action, Comedy, Crime",2019,6.1,R,107
108,"The Kid Who Would Be King",32141000,16790800,15350200,"Action, Adventure, Family",2019,6,PG,108
109,Anna,30918700,7743790,23174900,"Action, Thriller",2019,6.6,R,109
111,"21 Bridges",27699400,24969400,2730000,"Action, Crime, Drama",2019,6.6,R,111
122,"Jojo Rabbit",22328700,19540400,2788300,"Comedy, Drama, War",2019,8.1,PG-13,122
123,Shaft,21360200,21360200,NULL,"Action, Comedy, Crime",2019,6.4,R,123
126,"The Peanut Butter Falcon",20771000,20449200,321839,"Adventure, Comedy, Drama",2019,7.7,PG-13,126
140,Serenity,14387400,8547040,5840370,"Drama, Mystery, Thriller",2019,5.3,R,140
141,"The Dead Don't Die",13963600,6563600,7400000,"Comedy, Fantasy, Horror",2019,5.5,R,141
142,"Motherless Brooklyn",13930000,9229980,4700000,"Crime, Drama, Mystery",2019,7.1,R,142
148,"The Lighthouse",11265000,10565000,700000,"Drama, Fantasy, Horror",2019,8.3,R,148
151,"The Best of Enemies",10209800,10205600,4197,"Biography, Drama, History",2019,7,PG-13,151
157,"The Aftermath",9215590,1618500,7597090,"Drama, Romance, War",2019,6.3,R,157
158,"Captive State",8772810,5958320,2814500,"Drama, Sci-Fi, Thriller",2019,6,PG-13,158
174,"Official Secrets",6863150,1988550,4874610,"Biography, Drama, Romance",2019,7.3,R,174
191,"The Beach Bum",4554060,3502600,1051460,Comedy,2019,5.5,R,191
222,"The Art of Self-Defense",2414270,2410910,3355,"Comedy, Crime, Drama",2019,6.7,R,222
233,"The Souvenir",1719160,1036740,682420,"Drama, Mystery, Romance",2019,6.5,R,233
240,"The Kid",1551520,1508590,42928,"Biography, Drama, Western",2019,5.9,R,240
